Metric,SNR_Bin_dB,Levene_W,P_Value,Equal_Variance
throughput_mbps,35,4.058,0.0288,No
throughput_mbps,32,1.189,0.3211,Yes
throughput_mbps,29,0.596,0.5665,Yes
throughput_mbps,26,0.648,0.53,Yes
throughput_mbps,23,1.937,0.168,Yes
throughput_mbps,20,0.878,0.427,Yes
throughput_mbps,14,1.484,0.2628,Yes
throughput_mbps,11,0.26,0.775,Yes
throughput_mbps,8,0.012,0.9151,Yes
throughput_mbps,5,0.478,0.6278,Yes
throughput_mbps,2,0.914,0.4293,Yes
rtt_ms,35,2.287,0.1209,Yes
rtt_ms,32,0.005,0.9952,Yes
rtt_ms,29,0.021,0.9793,Yes
rtt_ms,26,0.544,0.5857,Yes
rtt_ms,23,2.427,0.1116,Yes
rtt_ms,20,1.738,0.195,Yes
rtt_ms,14,0.564,0.5825,Yes
rtt_ms,11,1.832,0.2022,Yes
rtt_ms,8,0.023,0.8837,Yes
rtt_ms,5,0.101,0.9043,Yes
rtt_ms,2,1.686,0.2297,Yes
retransmissions,35,3.857,0.0336,No
retransmissions,32,2.922,0.0724,Yes
retransmissions,29,1.4,0.2841,Yes
retransmissions,26,2.124,0.1361,Yes
retransmissions,23,0.733,0.4917,Yes
retransmissions,20,2.65,0.0889,Yes
retransmissions,14,0.511,0.6113,Yes
retransmissions,11,0.847,0.4526,Yes
retransmissions,8,2.284,0.1692,Yes
retransmissions,5,0.449,0.6458,Yes
retransmissions,2,0.363,0.7039,Yes
