Metric,SNR_Bin_dB,F_Statistic,P_Value,Significant
throughput_mbps,35,16.21,0.0,Yes
throughput_mbps,32,16.22,0.0,Yes
throughput_mbps,29,2.141,0.0782,No
throughput_mbps,23,1.843,0.1184,No
throughput_mbps,20,7.1,0.0,Yes
throughput_mbps,14,4.749,0.002,Yes
throughput_mbps,11,4.832,0.0034,Yes
throughput_mbps,8,0.1,0.7597,No
throughput_mbps,5,2.492,0.0539,No
rtt_ms,35,947.857,0.0,Yes
rtt_ms,32,48.978,0.0,Yes
rtt_ms,29,291.661,0.0,Yes
rtt_ms,23,28.249,0.0,Yes
rtt_ms,20,13.573,0.0,Yes
rtt_ms,14,5.797,0.0005,Yes
rtt_ms,11,18.139,0.0,Yes
rtt_ms,8,0.028,0.8703,No
rtt_ms,5,0.561,0.7289,No
retransmissions,35,5.273,0.0006,Yes
retransmissions,32,2.651,0.0479,Yes
retransmissions,29,3.696,0.007,Yes
retransmissions,23,0.474,0.7941,No
retransmissions,20,5.395,0.0005,Yes
retransmissions,14,0.563,0.7273,No
retransmissions,11,5.624,0.0014,Yes
retransmissions,8,0.022,0.8864,No
retransmissions,5,2.038,0.1026,No
