,,throughput_mbps,throughput_mbps,throughput_mbps,rtt_ms,rtt_ms,rtt_ms,retransmissions,retransmissions,retransmissions
,,mean,std,count,mean,std,count,mean,std,count
snr_bin,tcp_variant,,,,,,,,,
2,Legacy_Veno,0.015,0.01,4,405.608,20.66,4,36.25,15.37,4
2,Veno_AdaptiveBeta,0.304,0.015,5,337.476,21.853,5,55.4,8.112,5
2,Veno_RTTGrowthGuard,0.0,0.0,5,325.744,7.624,5,54.8,9.471,5
2,cubic,0.014,0.013,5,439.156,296.132,5,35.0,22.793,5
2,vegas,0.0,,1,851.8,,1,15.0,,1
2,westwood,0.01,0.008,4,577.908,289.443,4,30.25,13.574,4
5,Legacy_Veno,5.776,1.741,5,108.554,37.347,5,5.8,5.541,5
5,Veno_AdaptiveBeta,6.191,2.528,10,143.451,50.71,10,24.6,3.471,10
5,Veno_RTTGrowthGuard,4.648,1.553,5,134.984,27.178,5,24.6,3.715,5
5,cubic,4.398,2.3,5,128.466,65.004,5,26.8,20.849,5
5,vegas,2.458,2.276,5,104.468,70.483,5,31.8,25.675,5
5,westwood,3.282,2.597,5,130.786,42.756,5,32.4,22.546,5
8,Veno_AdaptiveBeta,7.646,1.372,5,108.038,38.636,5,16.0,5.788,5
8,Veno_RTTGrowthGuard,7.394,1.134,5,112.082,37.174,5,15.6,1.817,5
11,Legacy_Veno,11.122,0.865,5,69.622,5.168,5,0.4,0.894,5
11,Veno_AdaptiveBeta,10.136,1.178,5,102.286,27.993,5,5.0,1.871,5
11,Veno_RTTGrowthGuard,8.118,1.396,5,91.872,26.08,5,3.4,2.191,5
11,cubic,9.196,0.805,5,79.476,8.245,5,1.8,1.483,5
11,vegas,11.252,3.526,5,8.962,7.96,5,1.4,2.608,5
11,westwood,13.214,1.575,5,58.106,13.6,5,0.2,0.447,5
14,Legacy_Veno,11.502,1.034,6,73.957,16.037,6,0.833,1.602,6
14,Veno_AdaptiveBeta,12.674,1.299,5,60.984,8.002,5,0.2,0.447,5
14,Veno_RTTGrowthGuard,10.438,0.372,5,80.384,7.503,5,0.4,0.548,5
14,cubic,16.2,2.706,10,40.656,7.683,10,4.1,11.949,10
14,vegas,12.068,0.896,5,5.256,0.539,5,1.0,2.236,5
14,westwood,11.806,4.259,10,96.257,66.579,10,5.3,10.089,10
17,cubic,13.718,1.111,4,45.345,6.92,4,1.5,1.732,4
20,Legacy_Veno,17.556,2.556,10,53.64,20.279,10,0.5,0.85,10
20,Veno_AdaptiveBeta,17.079,1.421,10,77.903,28.615,10,1.3,1.337,10
20,Veno_RTTGrowthGuard,16.346,1.6,10,74.22,30.208,10,0.1,0.316,10
20,cubic,19.392,0.796,10,36.796,3.719,10,0.0,0.0,10
20,vegas,18.516,0.339,5,3.216,0.05,5,0.0,0.0,5
20,westwood,19.415,0.497,10,41.686,2.354,10,0.0,0.0,10
23,Legacy_Veno,19.201,0.611,10,44.81,4.754,10,0.1,0.316,10
23,Veno_AdaptiveBeta,19.866,0.127,5,37.724,1.455,5,0.0,0.0,5
23,Veno_RTTGrowthGuard,19.231,0.593,10,45.562,1.853,10,0.0,0.0,10
23,cubic,19.015,0.597,10,38.317,2.285,10,0.2,0.632,10
23,vegas,18.189,1.401,15,3.331,0.327,15,0.067,0.258,15
23,westwood,18.941,1.972,15,47.966,23.86,15,0.533,2.066,15
26,Legacy_Veno,20.217,0.773,10,40.594,4.948,10,0.0,0.0,10
26,Veno_AdaptiveBeta,20.665,0.606,15,35.561,2.569,15,0.267,0.594,15
26,Veno_RTTGrowthGuard,19.792,0.654,10,43.325,2.594,10,0.5,0.707,10
26,cubic,19.97,0.298,10,36.051,1.328,10,0.1,0.316,10
26,vegas,18.994,0.294,5,3.144,0.068,5,0.0,0.0,5
26,westwood,19.81,,1,37.21,,1,1.0,,1
29,Legacy_Veno,20.38,0.241,5,39.502,2.637,5,0.0,0.0,5
29,Veno_AdaptiveBeta,20.56,0.244,5,35.002,1.849,5,0.2,0.447,5
29,Veno_RTTGrowthGuard,19.72,0.416,5,43.082,2.258,5,0.6,0.894,5
29,cubic,20.2,0.547,10,30.461,5.188,10,0.0,0.0,10
29,vegas,19.874,0.331,15,3.003,0.055,15,0.0,0.0,15
29,westwood,20.155,0.896,10,39.701,2.998,10,0.0,0.0,10
32,Legacy_Veno,20.381,0.217,8,39.581,1.355,8,0.0,0.0,8
32,Veno_AdaptiveBeta,21.126,0.374,10,35.187,1.349,10,0.4,0.699,10
32,Veno_RTTGrowthGuard,20.251,0.274,10,43.67,1.246,10,0.0,0.0,10
32,cubic,20.631,0.168,10,31.492,3.617,10,0.0,0.0,10
32,westwood,20.188,0.355,5,40.15,1.275,5,0.0,0.0,5
35,Legacy_Veno,20.803,0.122,10,37.841,0.621,10,0.0,0.0,10
35,Veno_AdaptiveBeta,21.111,0.464,10,33.649,0.727,10,0.7,0.675,10
35,Veno_RTTGrowthGuard,20.31,0.442,10,42.329,0.9,10,0.4,0.516,10
35,cubic,20.878,0.152,5,29.548,3.91,5,0.0,0.0,5
35,vegas,20.007,0.282,10,2.989,0.065,10,0.0,0.0,10
35,westwood,20.722,0.123,10,37.825,1.768,10,0.1,0.316,10
