Metric,SNR_Bin_dB,Variant_1,Variant_2,Mean_Difference,P_Value_Adj,Cohens_d
throughput_mbps,35,cubic,vegas,-0.871,0.0,3.49
throughput_mbps,35,vegas,veno,0.796,0.0,3.66
throughput_mbps,35,vegas,westwood,0.715,0.0,3.29
throughput_mbps,32,cubic,westwood,-0.443,0.0065,1.84
throughput_mbps,26,cubic,vegas,-0.976,0.0,3.41
throughput_mbps,26,vegas,veno,1.006,0.0,1.64
throughput_mbps,20,cubic,veno,-1.836,0.0007,1.0
throughput_mbps,20,veno,westwood,1.859,0.0006,1.04
throughput_mbps,14,cubic,vegas,-3.323,0.0086,1.6
throughput_mbps,14,cubic,veno,-3.793,0.0016,1.84
throughput_mbps,14,cubic,westwood,-3.147,0.0049,1.03
throughput_mbps,11,cubic,westwood,4.018,0.0002,3.41
throughput_mbps,5,vegas,veno,3.318,0.0066,1.74
rtt_ms,35,cubic,vegas,-26.559,0.0,12.24
rtt_ms,35,cubic,veno,8.293,0.0,3.72
rtt_ms,35,cubic,westwood,8.277,0.0,3.16
rtt_ms,35,vegas,veno,34.852,0.0,78.9
rtt_ms,35,vegas,westwood,34.836,0.0,27.84
rtt_ms,32,cubic,veno,8.089,0.0,2.83
rtt_ms,32,cubic,westwood,8.658,0.0,2.8
rtt_ms,29,cubic,vegas,-27.458,0.0,8.46
rtt_ms,29,cubic,veno,9.041,0.0,1.98
rtt_ms,29,cubic,westwood,9.24,0.0,2.18
rtt_ms,29,vegas,veno,36.499,0.0,29.34
rtt_ms,29,vegas,westwood,36.698,0.0,19.56
rtt_ms,26,cubic,vegas,-32.907,0.0,30.88
rtt_ms,26,cubic,veno,5.458,0.0,1.53
rtt_ms,26,vegas,veno,38.365,0.0,9.32
rtt_ms,26,vegas,westwood,34.066,0.0,559.74
rtt_ms,23,cubic,vegas,-34.986,0.0,24.62
rtt_ms,23,vegas,veno,41.479,0.0,14.2
rtt_ms,23,vegas,westwood,44.635,0.0,2.69
rtt_ms,20,cubic,vegas,-33.58,0.0,11.26
rtt_ms,20,cubic,veno,16.844,0.0,1.19
rtt_ms,20,vegas,veno,50.424,0.0,3.1
rtt_ms,20,vegas,westwood,38.47,0.0,20.38
rtt_ms,20,veno,westwood,-11.954,0.0047,0.85
rtt_ms,14,cubic,vegas,-37.445,0.0269,6.85
rtt_ms,14,cubic,westwood,41.792,0.0037,1.04
rtt_ms,14,vegas,veno,66.124,0.0001,7.0
rtt_ms,14,vegas,westwood,79.237,0.0,1.81
rtt_ms,11,cubic,vegas,-70.514,0.0,9.23
rtt_ms,11,cubic,westwood,-21.37,0.0,2.02
rtt_ms,11,vegas,veno,60.66,0.0,9.59
rtt_ms,11,vegas,westwood,49.144,0.0,4.68
rtt_ms,11,veno,westwood,-11.516,0.0273,1.19
retransmissions,26,cubic,westwood,0.9,0.0,3.0
retransmissions,26,vegas,westwood,1.0,0.0,0.0
retransmissions,26,veno,westwood,1.0,0.0,0.0
retransmissions,20,cubic,veno,0.5,0.0038,0.85
retransmissions,20,vegas,veno,0.5,0.0249,0.73
retransmissions,20,veno,westwood,-0.5,0.0038,0.85
retransmissions,5,vegas,veno,-26.0,0.0212,1.48
retransmissions,5,veno,westwood,26.6,0.0177,1.72
